GBO Fashion	http://gbofashion.com	//div[contains(@class,"post")]/h2/a	//div[contains(@class,"post")]/h1	//div[@class="entry"]	//div[contains(@class,"post")]//div[@class="date"]	//li[contains(@class, "comment")]	//a[@class="next page-numbers"]		
Sea of Ghosts	http://seaofghosts.com	//span[@class="entry-title"]/a	//span[@class="entry-title"]/a	//div[@class="entry-content"]	//footer[@class="entry-meta"]	//div[@id="comments"]	//div[@class="nav-previous"]/a		
Jazzi MCG	http://jazzimcg.com/blog	//div[@class="title"]/h1/a	//div[@class="title"]/h1/a	//div[@class="post"]		//ul[@class="commentlist"]/li	//div[@id="nextpage"]/a		
Agent Lover	http://agentlover.com/blog	//div[@id="content_inner"]/h2/a	//div[@id="content_inner"]/h1	//div[@id="content_inner"]		//dl[@id="comment_list"]	//span[@class="older"]/a		
SKIP-No results found	http://velvetcigarette.com								
SKIP-Not a normal blog	http://thegirlnextdior.tumblr.com								
The Recessionista	http://therecessionista.com	//h2[@class="entry-title"]/a	//h1[@class="entry-title"]/span	//div[contains(@class,"entry-content")]	//abbr[contains(@class,"published")]	//ol/li	//div[@class="nav-previous"]/a		
To the Motherhood	http://tothemotherhood.com	//h2[@class="entry-title"]/a	//h1[@class="entry-title"]	//div[@class="entry-content"]	//span[@class="date published time"]	//ol/li	//li[@class="pagination-next"]/a		
Garance Dore	http://garancedore.fr/en	//h2[@class="title"]/a	//h2[@class="title"]/a	//div[@class="post-content"]	//footer[@class="post-info"]/div/div/time	//ul[@class="comments-list"]/li	//li[@class="next"]/a		
Hallie Daily	http://halliedaily.com	//h2[@class="posttitle"]/a	//h1[@class="posttitle"]/a	//div[contains(@class,"entry")]	//div[@class="date"]	//ol/li	//span[@class="previous-entries"]/a		
FASHIONFILLERS	http://fashionfillers.com	//div[contains(@id,"post")]/a	//div[contains(@id,"post")]/h1	//div[@class="entry"]	//div[contains(@id,"post")]/small	//ol/li	//div[@class="alignleft"]/a		
SKIP - DIFFERENT TEMPLATES	http://lapinella.com								
Pennyweight	http://pennyweightblog.com	//h1[@class="entry-title"]/a	//h1[@class="entry-title"]/a	//div[@class="entry-content"]		//div[contains(@class,"comment-list")]	//div[@class="older"]/a		
A Curious Fancy	http://curiousfancy.com	//div[@class="title"]/a	//div[@class="title"]/a	//div[@class="copy"]/p			//div[@id="pagination"]/a[last()]		
SKIP - not blog site	http://trendland.net								
Girl a la Mode	http://girlalamode.co.uk	//h1[@class="entry-title"]/a	//h1[@class="entry-title"]	//div[contains(@class,"content")]/*[not(position() > last() -5)]	//div[@class="post-info"]/text()[1]	//ol/li	//div[@id="posts-nav"]/a[last()]		
40+ Style	http://40plusstyle.com	//div[@class="headline_area"]/h2/a	//div[@class="headline_area"]/h1	//div[contains(@class,"entry-content")]		//dl[@id="comment_list"]	//ul[@class="numbered_nav"]/li[@class="number"][not(position() > last() -1)]		
Trend and The City	http://trendandthecity.it	//h2[@class="art-postheader"]/a	//h2[@class="art-postheader"]/a	//div[@class="art-postcontent "]/p	//div[@class="art-postheadericons art-metadata-icons"]/text()[1]	//ul[@class="commentlist"]/li	//div[@class="alignleft"]/a		
Fierce og Fattig	http://fierceogfattig.dk	//div[@class="headline"]/h2/a	//div[@class="headline"]/h1	//div[@class="entry-content"]	//div[@id="headline-time-div"]	//ol/li	//div[@class="pagination"]/a[last()]		
My Daily Style	http://stylelovely.com/mydailystyle	//header[@class="entry-header"]/h2/a	//header[@class="entry-header"]/h1	//div[@class="entry-content"]		//ol/li	//a[@class="nextpostslink"]		
Haute Macabre	http://hautemacabre.com	//div[contains(@id,"post")]//h2/a	//div[contains(@id,"post")]//h2	//div[contains(@id,"post")]//p	//div[contains(@id,"post")]//p/small/text()[1]	//ol/li	//div[@class="alignright"]/a		
Lace & Tea	http://laceandtea.com	//div[@id="content"]/h1/a	//div[@id="content"]/h1	//div[@id="content"]/p[position() >1]	//div[@id="content"]/h4	//ol[@id="comments"]	//div[@class="navigation"]/a[last()]		
MoMoMod	http://momomod.com	//article[contains(@id,"post-")]/div/h2/a	//article[contains(@id,"post-")]/div/h1	//article[contains(@id,"post-")]/div		//ul[@id="comments-list"]/li	//div[@class="alignright"]/a		
SPELL and the gypsy collective	http://spelldesigns.com/blog	//h2[@class="posttitle"]/a	//div[contains(@class,"post")]/h2/a	//div[@class="postcontent"]	//div[@class="postdate"]/span	//ul[@id="post-list"]	//a[@class="nextpostslink"]		
Style WIth Benefits	http://stylewithbenefits.com	//article[contains(@class,"post-")]/h1/a	//article[contains(@class,"post-")]/h1/a	//article[contains(@class,"post-")]/p[position() > 1]	//article[contains(@class,"post-")]/time	//ol/li	//div[contains(@class,"pagenav ")]/a		
SKIP - NO NAVIGATION	http://maldhagen.blogg.se								
SKIP - NO SITE	http://therayandthero.com								
Passions for Fashion	http://passionsforfashion.dk	//div[@class="posttitle"]/a	//div[@class="posttitle"]/h1	//div[contains(@class,"post")]/p	//div[@class="posttitle"]/span	//ol/li	//div[@class="pager"]/ul/li[last()]		
TravelinStyle	http://travelinstyle.creatorsofdesire.com	//article/h2/a	//article/h1/a	//div[@class="cms-cont"]	//span[@class="pubdate"]/div/time	//ul[@id="post-list"]	//a[@class="next"]		
Mademoiselle	http://mademois-elle.com	//header[@class="entry-header"]/h1/a	//header[@class="entry-header"]/h1	//div[@class="entry-content"]	//header[@class="entry-header"]/p	//ol/li	//div[contains(@class,"nav-previous")]/a		
Instinto de Vestir	http://instintodevestir.com	//h2[@class="title"]/a	//h2[@class="title"]	//div[@class="entry"]	//div[@class="postdate"]	//ol/li	//div[@class="alignleft"]/a		
Still Being Molly	http://themollybuckley.com	//h1[@class="entry-title"]/a	//h1[@class="entry-title"]	//article[contains(@id,"post")]	//time[contains(@class,"entry-date")]	//ul[@id="post-list"]	//div[contains(@class,"nav-previous")]/a		
Streetstyle	http://stylesightings.com	//h2[@class="entry-title"]/a	//h1[@class="entry-title"]	//div[@class="entry-content"]	//span[@class="entry-date"]	//ol/li	//a[@class="next"]		
SKIP -- No next page	http://photoblogbypetra.blogg.se								
Bel & Beau	http://holdenonbaby.com	//h1[@class="post-title"]/a	//header/h1	//article[contains(@class,"post")]/p	//p[contains(@class,"article-meta-extra")]	//ul[@id="post-list"]	//p[@class="articles-nav-next"]/a	http://belandbeau.com/	
Casey's Elegant Musings	http://blog.caseybrowndesigns.com	//h2[@class="entry-title"]/a	//h1[@class="entry-title"]	//div[contains(@class,"post")]	//abbr[contains(@class,"published")]	//dl[@id="comment_list"]	//p[@class="previous"]/a		
Little Plastic Horses	http://www.littleplastichorses.com/	//div[@class="title"]/h2/a	//div[@class="title"]/h2	//div[@class="body"]	//div[@class="date"]/p	//div[@class="ob-commentsList"]	//a[contains(@class,"ob-page-next")]		
Fashion Chalet	http://fashionchalet.net/	//div[@class="title"]/h2/a	//div[@class="title"]/h2	//div[@class="body"]	//div[@class="date"]/p	//div[@class="ob-commentsList"]	//a[contains(@class,"ob-page-next")]		
Roxalne	http://roxalne.com/the-diary-of-roxalne.php	//div[@id="diary-content"]/h2/a	//div[@id="diary-content"]/h2/a	//div[@id="diary-content"]/p	//div[@id="diary-content"]/*[position()>3]	//div[@id="tampilkan"]	//a[.//div[@id="next"]]		
Oracle Fox	http://oraclefox.com/	//h2[@class="title"]/a	//h2[@class="title"]/a	//article[contains(@class,"post-")]//p	//h4[@class="date"]	//ul[@id="post-list"]	//div[@class="pagination"]/a[last()]		
This Chick's Got Style	http://thischicksgotstyle.nl/	//h1[@class="entry-title"]/a	//h1[@class="entry-title"]	//div[@class="entry-content"]	//div[@class="entry-date"]/strong	//ol/li	//div[contains(@class,"nav-previous")]/a		
The Fashion Fruit	http://thefashionfruit.com/	//div[@class="post"]/div[@class="titolo"]/a	//div[@class="post"]/div[@class="titolo"]	//div[contains(@class,"entry")]/*[not(self::div[@class="sharing"])]	//div[@class="data"]/text()[2]	//ul[@class="commentlist"]/li	//div[@class="lefty"]/a		
SKIP - NO SITE	http://www.gritandglamour.com/								
Hannah Hayes	http://hannahhayes.co.uk	//h2[@class="headline"]/a	//h1[@class="headline header_text"]	//div[@class="post_content"]	//span[@class="post_date"]	//ul[@class="comment_list"]/li	//span[@class="previous_posts"]/a		
Looklab	http://acie.looklab.dk	//a[@class="box"]	//h2[@class="post-title"]/a	//div[@class="entry"]/p	//li[@class="firstItem"]	//ol/li	//li[@class="last"]/a		
SKIP - UNUSUAL NAV	http://thefashionguitar.com								
Cats and Dogs	http://wie-hund-und-katze.com	//div[@class="entry-summary"]/a	//h1[contains(@class,"entry-title")]/span	//div[contains(@class,"entry-content")]	//span[@class="entry-date"]	//ul[@class="commentlist"]/li	//ul[@class="page-numbers"]/li[last()]		
After DRK	http://www.afterdrk.com/	//div[@class="article"]/h2/a	//head/title	//div[@class="intro"]	//div[@class="post-details"]/strong	//ol/li	//div[@class="nav-previous"]/a		
Costume	http://mariannan.costume.fi	//article[contains(@class,"post-")]//header/h2/a	//article[contains(@class,"post-")]//header/h2	//article[contains(@class,"post-")]//p	//span[@class="posted-date"]	//ol/li	//div[@class="prev"]/a		
Corporette	http://corporette.com	//h2[@class="entry-title"]/a	//h1[@class="entry-title"]	//div[@class="entry-content"]	//span[@class="date published time"]	//ol/li	//li[@class="pagination-next"]/a		
Connected To Fashion	http://connectedtofashion.creatorsofdesire.com	//section[@class="posts"]/article/h2/a	//section[@class="posts"]/article/h1/a	//div[@class="cms-cont"]	//time	//ul[@id="post-list"]	//div[@class="pagination list-pagination"]/a[2]		
Strawberry Koi	http://strawberrykoi.com/blog	//h2[@class="title"]/a	//h1[@class="title"]/a	//div[@class="entry"]	//span[@class="post-date"]	//ol/li	//a[@class="next page-numbers"]		
